,Food Item,Serving Size,Calories (kcal),Protein (g),Carbs (g),Fats (g),Quantity
,Whole eggs,1,71,6,0.5,5,1
,Beef suet,1 tbsp (~14g),126,0,0,14,1
,Rolled oats,1 tbsp (~ 9g),35.5,1,6.3,0.7,1
,Banana,1 small (~100g),98.7,1,23,0.3,1
,Chicken breast (cooked),180g,270,54,0,6,1
,White rice (boiled water),100g,124.6,2.2,28.5,0.2,1
,Green Beans (boiled),100g ,40.1,1.9,7.9,0.1,1
,Whey Protein (1 soop ~31g),31g,117.5,24,2,1.5,1
,Carrots (steamed),100g,43.4,0.9,9.5,0.2,1
,Peanut butter (natural),1 tbsp (~16g),100,4,3,8,1
,Serious Mass (half scoop ~84g),84g,313.25,12.5,63,1.25,1
,Canned sardines (drained),120g,250,40,0,10,1
,Sweet potato (roasted),100g,87.7,1.6,20.1,0.1,1
,Mixed greens,1 cup (~30g),12,1,2,0,1
,Full-fat Greek yogurt,150g,160,15,7,8,1
,Almond butter,1 tbsp (~16g),105,3,3,9,1
,Chia seeds (optional),1 tsp (~5g),30,1,2,2,1
,walnut,5g,35.5,0.75,0.7,3.3,1
,peanut,1 (~ 0.5g),2.68,0.12,0.1,0.2,1
,pumpkin seeds,1 tbsp (~ 10g),59.1,3,1.2,4.7,1
,Olive Oil,3 tbsp (~ 14g),126,0,0,14,1
,Raw Avocado,half a medium (~ 100g),179,2,9,15,1
,Ground Beef (cooked),100g,257,26,0,17,1
,Banana,1 small (~100g),99.1,1.1,23,0.3,1
,Apple,1 small (~150g),87,0.3,21,0.2,1
,Kiwi,1 average kiwi (~ 75g),51.2,0.9,11,0.4,1
